0;370.0361;376.5125
1;374.6320;382.8127
2;380.8578;389.3266
3;387.3028;396.0713
4;393.9662;403.0482
5;400.8647;410.2831
6;408.0085;417.7787
7;415.4194;425.5585
8;423.1013;433.6318
9;431.0754;442.0247
10;439.3531;450.7443
11;447.9585;459.8198
12;456.9117;469.2655
13;466.2312;479.1145
14;475.9373;489.3824
15;486.0648;500.1096
16;496.6218;511.3133
17;507.6578;523.0366
18;519.1995;535.3076
19;531.2753;548.1710
20;543.9282;561.6729
21;557.2012;575.8582
22;571.1419;590.7762
23;585.7987;606.4973
24;601.2257;623.0767
25;617.5038;640.5923
26;634.6660;659.0624
27;652.8310;678.4446
28;672.0564;699.0016
29;692.6782;720.8434
30;715.0265;744.0945
31;738.8647;768.8956
32;764.3469;795.4075
33;791.6492;823.8129
34;820.9741;854.3226
35;852.5548;887.1788
36;886.6618;1048.4739
